fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,fmc,py,jd,jd_min,pc,pdf,time,ffmc,bui,gfl,pattern,tree_height,
C1,51.621244,-115.608378,2041.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2099.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2147.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
O1a,51.621244,-115.608378,2161.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2167.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C1,51.621244,-115.608378,2174.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C2,51.621244,-115.608378,2181.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2188.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2201.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2220.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2247.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
O1a,51.621244,-115.608378,2268.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2282.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2289.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2288.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2283.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2277.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2257.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2229.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2209.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C1,51.621244,-115.608378,2198.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C2,51.621244,-115.608378,2177.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2148.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2107.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
O1a,51.621244,-115.608378,2050.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2027.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2011.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,1997.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C3,51.621244,-115.608378,1979.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1963.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1952.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1937.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1928.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C2,51.621244,-115.608378,1916.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,1901.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,1889.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,1875.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
O1a,51.621244,-115.608378,2042.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C3,51.621244,-115.608378,1996.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1984.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C1,51.621244,-115.608378,2019.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2072.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
NF,51.621244,-115.608378,2128.000000,,,,,,,,,101,,,,,,,20,,,nan,,,
O1a,51.621244,-115.608378,2154.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,2156.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2159.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2166.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2175.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
O1a,51.621244,-115.608378,2189.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,2208.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2233.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
O1a,51.621244,-115.608378,2256.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2273.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2284.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2288.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2284.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2276.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2263.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2245.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2219.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2202.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,2185.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2157.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2118.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2095.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2086.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2067.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2049.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
O1a,51.621244,-115.608378,2030.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2012.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,1997.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,1980.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,1963.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,1942.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,1923.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,1906.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,1887.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C3,51.621244,-115.608378,2046.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1999.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1970.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C1,51.621244,-115.608378,1998.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2043.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2100.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2144.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C2,51.621244,-115.608378,2151.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2142.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2141.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2166.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2180.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2198.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2220.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C1,51.621244,-115.608378,2242.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2260.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
O1a,51.621244,-115.608378,2275.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2285.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2284.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2277.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2268.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2259.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2241.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2210.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,2194.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2177.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2159.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
O1a,51.621244,-115.608378,2141.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,2125.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
O1a,51.621244,-115.608378,2103.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C3,51.621244,-115.608378,2089.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,2078.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,2067.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,2054.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
O1a,51.621244,-115.608378,2036.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2013.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,1985.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,1956.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,1928.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,1903.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C3,51.621244,-115.608378,2045.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1999.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1967.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
O1a,51.621244,-115.608378,1977.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C1,51.621244,-115.608378,2013.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2065.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
NF,51.621244,-115.608378,2121.000000,,,,,,,,,101,,,,,,,20,,,nan,,,
NF,51.621244,-115.608378,2130.000000,,,,,,,,,101,,,,,,,20,,,nan,,,
C2,51.621244,-115.608378,2105.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
O1a,51.621244,-115.608378,2137.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2161.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,2170.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2187.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2208.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C1,51.621244,-115.608378,2228.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2245.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
O1a,51.621244,-115.608378,2262.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2278.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2285.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2279.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2268.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2261.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2252.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2224.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2201.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,2190.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2178.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2160.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2140.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C1,51.621244,-115.608378,2120.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2111.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C3,51.621244,-115.608378,2106.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,2103.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C1,51.621244,-115.608378,2098.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C3,51.621244,-115.608378,2086.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,2067.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
O1a,51.621244,-115.608378,2039.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,1996.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,1950.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,1915.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C3,51.621244,-115.608378,2040.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1994.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1964.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1961.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C1,51.621244,-115.608378,1991.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2034.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
O1a,51.621244,-115.608378,2072.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2072.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,2066.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2128.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
O1a,51.621244,-115.608378,2163.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2164.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,2175.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2197.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C1,51.621244,-115.608378,2217.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2231.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2250.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
O1a,51.621244,-115.608378,2268.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2282.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2281.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2272.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2262.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2254.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2241.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2210.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,2192.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2183.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2167.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2146.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C1,51.621244,-115.608378,2133.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2122.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2115.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2114.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C3,51.621244,-115.608378,2112.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,2106.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,2095.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C2,51.621244,-115.608378,2078.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2028.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,1966.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,1923.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C3,51.621244,-115.608378,2047.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1993.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1961.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C3,51.621244,-115.608378,1946.000000,,,,,,,,,3,,,,,,,20,,,1.150000,,,
C1,51.621244,-115.608378,1973.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,1997.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C2,51.621244,-115.608378,2011.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
O1a,51.621244,-115.608378,2014.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C2,51.621244,-115.608378,2027.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
C2,51.621244,-115.608378,2067.000000,,,,,,,,,2,,,,,,,20,,,0.800000,,,
NF,51.621244,-115.608378,2111.000000,,,,,,,,,101,,,,,,,20,,,nan,,,
NF,51.621244,-115.608378,2142.000000,,,,,,,,,101,,,,,,,20,,,nan,,,
NF,51.621244,-115.608378,2166.000000,,,,,,,,,101,,,,,,,20,,,nan,,,
O1a,51.621244,-115.608378,2185.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
C1,51.621244,-115.608378,2208.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2222.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2240.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
C1,51.621244,-115.608378,2258.000000,,,,,,,,,1,,,,,,,20,,,0.750000,,,
O1a,51.621244,-115.608378,2274.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2283.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2282.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2268.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
O1a,51.621244,-115.608378,2257.000000,,,,,60,,,,31,,,,,,,20,,,0.350000,,,
